cidade_origem,uf_origem,cidade_destino,uf_destino,distancia_km,fonte
ABAETE,MG,BETIM,MG,182.8,google
ABADIA DOS DOURADOS,MG,BETIM,MG,487.9,google
ACUCENA,MG,BETIM,MG,301.2,google
ACAIACA,MG,BETIM,MG,174.9,google
AGUA COMPRIDA,MG,BETIM,MG,489.3,google
AGUANIL,MG,BETIM,MG,209.9,google
AGUA BOA,MG,BETIM,MG,411.5,google
AGUAS VERMELHAS,MG,BETIM,MG,768.1,google
ABRE CAMPO,MG,BETIM,MG,249.1,google
AGUAS FORMOSAS,MG,BETIM,MG,618.4,google
AIMORES,MG,BETIM,MG,501.7,google
AIURUOCA,MG,BETIM,MG,389.7,google
ALAGOA,MG,BETIM,MG,417.8,google
ALFREDO VASCONCELOS,MG,BETIM,MG,181.4,google
ALMENARA,MG,BETIM,MG,789.1,google
ALEM PARAIBA,MG,BETIM,MG,399.7,google
ALPERCATA,MG,BETIM,MG,345.7,google
ALFENAS,MG,BETIM,MG,313.1,google
ALBERTINA,MG,BETIM,MG,456.4,google
ALPINOPOLIS,MG,BETIM,MG,309.4,google
ALTO CAPARAO,MG,BETIM,MG,352.4,google
ALTO RIO DOCE,MG,BETIM,MG,238.8,google
ALVINOPOLIS,MG,BETIM,MG,190.0,google
ALVORADA DE MINAS,MG,BETIM,MG,238.8,google
ALTO JEQUITIBA,MG,BETIM,MG,339.6,google
AMPARO DO SERRA,MG,BETIM,MG,224.0,google
ANDRADAS,MG,BETIM,MG,453.7,google
ANDRELANDIA,MG,BETIM,MG,317.1,google
ALTEROSA,MG,BETIM,MG,358.0,google
ALVARENGA,MG,BETIM,MG,369.0,google
ANGELANDIA,MG,BETIM,MG,481.3,google
ANTONIO DIAS,MG,BETIM,MG,197.4,google
ARACAI,MG,BETIM,MG,127.6,google
ANTONIO PRADO DE MINAS,MG,BETIM,MG,370.1,google
ARACITABA,MG,BETIM,MG,247.6,google
ARANTINA,MG,BETIM,MG,342.8,google
ANTONIO CARLOS,MG,BETIM,MG,205.2,google
ARAGUARI,MG,BETIM,MG,538.2,google
ARACUAI,MG,BETIM,MG,603.0,google
ARAPONGA,MG,BETIM,MG,293.5,google
ARAPORA,MG,BETIM,MG,632.8,google
ARAXA,MG,BETIM,MG,333.4,google
ARAPUA,MG,BETIM,MG,307.3,google
ARAUJOS,MG,BETIM,MG,121.8,google
AREADO,MG,BETIM,MG,345.9,google
ARGIRITA,MG,BETIM,MG,357.1,google
ARCEBURGO,MG,BETIM,MG,418.5,google
ARCOS,MG,BETIM,MG,182.5,google
ARICANDUVA,MG,BETIM,MG,523.0,google
ARINOS,MG,BETIM,MG,660.6,google
BAEPENDI,MG,BETIM,MG,351.3,google
ATALEIA,MG,BETIM,MG,541.0,google
AUGUSTO DE LIMA,MG,BETIM,MG,255.9,google
BALDIM,MG,BETIM,MG,128.4,google
ASTOLFO DUTRA,MG,BETIM,MG,301.9,google
BAMBUI,MG,BETIM,MG,233.6,google
BANDEIRA,MG,BETIM,MG,844.0,google
BARAO DE COCAIS,MG,BETIM,MG,124.8,google
BANDEIRA DO SUL,MG,BETIM,MG,394.7,google
BARBACENA,MG,BETIM,MG,192.5,google
BARRA LONGA,MG,BETIM,MG,193.5,google
BARAO DO MONTE ALTO,MG,BETIM,MG,369.5,google
BELA VISTA DE MINAS,MG,BETIM,MG,155.4,google
BELMIRO BRAGA,MG,BETIM,MG,315.4,google
BELO HORIZONTE,MG,BETIM,MG,31.0,google
BELO VALE,MG,BETIM,MG,93.4,google
BELO ORIENTE,MG,BETIM,MG,279.5,google
BERILO,MG,BETIM,MG,541.6,google
BARROSO,MG,BETIM,MG,216.5,google
BETIM,MG,BETIM,MG,0.0,google
BERIZAL,MG,BETIM,MG,752.5,google
BOCAIUVA,MG,BETIM,MG,384.8,google
BOA ESPERANCA,MG,BETIM,MG,245.6,google
BOCAINA DE MINAS,MG,BETIM,MG,398.8,google
BOM DESPACHO,MG,BETIM,MG,129.6,google
BERTOPOLIS,MG,BETIM,MG,664.6,google
BIQUINHAS,MG,BETIM,MG,236.8,google
BIAS FORTES,MG,BETIM,MG,254.2,google
BICAS,MG,BETIM,MG,323.5,google
BOM JESUS DA PENHA,MG,BETIM,MG,341.0,google
BOM JESUS DO AMPARO,MG,BETIM,MG,99.7,google
BOM REPOUSO,MG,BETIM,MG,409.9,google
BOM JESUS DO GALHO,MG,BETIM,MG,299.7,google
BOM SUCESSO,MG,BETIM,MG,172.5,google
BOM JARDIM DE MINAS,MG,BETIM,MG,353.1,google
BORDA DA MATA,MG,BETIM,MG,387.9,google
BONFIM,MG,BETIM,MG,61.9,google
BONITO DE MINAS,MG,BETIM,MG,649.5,google
BONFINOPOLIS DE MINAS,MG,BETIM,MG,560.2,google
BOTELHOS,MG,BETIM,MG,382.1,google
BRAUNAS,MG,BETIM,MG,282.4,google
BOTUMIRIM,MG,BETIM,MG,608.0,google
BRASILIA DE MINAS,MG,BETIM,MG,562.9,google
BRAS PIRES,MG,BETIM,MG,206.6,google
BRAZOPOLIS,MG,BETIM,MG,419.3,google
BUENOPOLIS,MG,BETIM,MG,285.7,google
BUENO BRANDAO,MG,BETIM,MG,429.2,google
BRASILANDIA DE MINAS,MG,BETIM,MG,496.7,google
BRUMADINHO,MG,BETIM,MG,26.3,google
BUGRE,MG,BETIM,MG,274.2,google
BURITIS,MG,BETIM,MG,757.3,google
BURITIZEIRO,MG,BETIM,MG,361.6,google
CABECEIRA GRANDE,MG,BETIM,MG,672.5,google
CACHOEIRA DE MINAS,MG,BETIM,MG,379.2,google
CABO VERDE,MG,BETIM,MG,399.5,google
CACHOEIRA DA PRATA,MG,BETIM,MG,98.9,google
CAETANOPOLIS,MG,BETIM,MG,106.1,google
CACHOEIRA DE PAJEU,MG,BETIM,MG,756.6,google
CACHOEIRA DOURADA,MG,BETIM,MG,689.1,google
CAETE,MG,BETIM,MG,85.6,google
CAIANA,MG,BETIM,MG,381.1,google
CAJURI,MG,BETIM,MG,260.6,google
CALDAS,MG,BETIM,MG,434.7,google
CAMBUQUIRA,MG,BETIM,MG,286.8,google
CAMACHO,MG,BETIM,MG,170.7,google
CAMPANARIO,MG,BETIM,MG,417.6,google
CAMBUI,MG,BETIM,MG,402.1,google
CAMANDUCAIA,MG,BETIM,MG,421.6,google
CAMPANHA,MG,BETIM,MG,285.0,google
CAMPINA VERDE,MG,BETIM,MG,648.1,google
CAMPO AZUL,MG,BETIM,MG,494.7,google
CAMPO BELO,MG,BETIM,MG,188.1,google
CAMPO DO MEIO,MG,BETIM,MG,271.0,google
CAMPOS ALTOS,MG,BETIM,MG,241.3,google
CAMPOS GERAIS,MG,BETIM,MG,278.6,google
CAMPO FLORIDO,MG,BETIM,MG,516.3,google
CAMPESTRE,MG,BETIM,MG,379.8,google
CANA VERDE,MG,BETIM,MG,196.5,google
CANAPOLIS,MG,BETIM,MG,626.4,google
CANDEIAS,MG,BETIM,MG,206.2,google
CANTAGALO,MG,BETIM,MG,329.4,google
CAPARAO,MG,BETIM,MG,367.5,google
CAPETINGA,MG,BETIM,MG,378.3,google
CAPELINHA,MG,BETIM,MG,543.7,google
CAPELA NOVA,MG,BETIM,MG,184.8,google
CANAA,MG,BETIM,MG,282.8,google
CAPINOPOLIS,MG,BETIM,MG,669.5,google
CAPIM BRANCO,MG,BETIM,MG,82.2,google
CAPITAO ANDRADE,MG,BETIM,MG,376.9,google
CAPITOLIO,MG,BETIM,MG,248.7,google
CAPUTIRA,MG,BETIM,MG,294.9,google
CARANDAI,MG,BETIM,MG,155.9,google
CARAI,MG,BETIM,MG,568.9,google
CARANGOLA,MG,BETIM,MG,354.5,google
CARANAIBA,MG,BETIM,MG,149.4,google
CAPITAO ENEAS,MG,BETIM,MG,491.6,google
CARBONITA,MG,BETIM,MG,429.3,google
CARATINGA,MG,BETIM,MG,324.2,google
CARMESIA,MG,BETIM,MG,242.5,google
CARMO DA CACHOEIRA,MG,BETIM,MG,228.4,google
CARMO DE MINAS,MG,BETIM,MG,360.3,google
CARMO DO CAJURU,MG,BETIM,MG,85.0,google
CARMO DO RIO CLARO,MG,BETIM,MG,328.0,google
CARMO DO PARANAIBA,MG,BETIM,MG,317.1,google
CARMOPOLIS DE MINAS,MG,BETIM,MG,92.9,google
CAREACU,MG,BETIM,MG,323.1,google
CARLOS CHAGAS,MG,BETIM,MG,578.4,google
CARMO DA MATA,MG,BETIM,MG,140.7,google
CARRANCAS,MG,BETIM,MG,249.5,google
CASA GRANDE,MG,BETIM,MG,148.3,google
CARVALHOPOLIS,MG,BETIM,MG,332.7,google
CARVALHOS,MG,BETIM,MG,408.1,google
CASSIA,MG,BETIM,MG,362.6,google
CASCALHO RICO,MG,BETIM,MG,520.7,google
CATAS ALTAS,MG,BETIM,MG,146.2,google
CATAS ALTAS DA NORUEGA,MG,BETIM,MG,160.9,google
CARNEIRINHO,MG,BETIM,MG,767.8,google
CATAGUASES,MG,BETIM,MG,324.0,google
CATUJI,MG,BETIM,MG,540.3,google
CAXAMBU,MG,BETIM,MG,346.3,google
CATUTI,MG,BETIM,MG,653.7,google
CHACARA,MG,BETIM,MG,300.8,google
CENTRAL DE MINAS,MG,BETIM,MG,431.4,google
CHALE,MG,BETIM,MG,380.3,google
CENTRALINA,MG,BETIM,MG,634.2,google
CHAPADA DO NORTE,MG,BETIM,MG,520.8,google
CHAPADA GAUCHA,MG,BETIM,MG,745.0,google
CEDRO DO ABAETE,MG,BETIM,MG,217.2,google
CIPOTANEA,MG,BETIM,MG,194.7,google
CHIADOR,MG,BETIM,MG,356.7,google
CLARAVAL,MG,BETIM,MG,419.1,google
COIMBRA,MG,BETIM,MG,263.7,google
COLUNA,MG,BETIM,MG,386.3,google
COMENDADOR GOMES,MG,BETIM,MG,581.0,google
CLARO DOS POCOES,MG,BETIM,MG,414.8,google
COMERCINHO,MG,BETIM,MG,762.2,google
CLAUDIO,MG,BETIM,MG,110.5,google
CONCEICAO DA APARECIDA,MG,BETIM,MG,345.7,google
CONCEICAO DA BARRA DE MINAS,MG,BETIM,MG,202.5,google
